net,length_um
net1762,120.39µm
_00566_,120.2µm
_06817_,120.2µm
_21417_,120.14µm
clknet_leaf_200_clk,120.14µm
net1208,120.115µm
_06746_,120.08µm
_08623_,120.06µm
_19359_,119.98µm
_20892_,119.96µm
u_pq.cell_key_w\[3\]\[4\],119.96µm
_07906_,119.92µm
_11080_,119.9µm
clknet_leaf_220_clk,119.86µm
_05062_,119.84µm
u_sq.id_mem\[4\]\[1\],119.83µm
net70,119.78µm
_08351_,119.755µm
apb_pwdata\[3\],119.66µm
net19,119.62µm
_17905_,119.56µm
_12910_,119.55µm
_03733_,119.52µm
net789,119.52µm
_00357_,119.5µm
_21328_,119.5µm
_09332_,119.48µm
_19636_,119.48µm
_20515_,119.38µm
clknet_leaf_72_clk,119.36µm
_12335_,119.265µm
net545,119.26µm
net1500,119.23µm
net1005,119.2µm
_06581_,119.19µm
_00764_,119.08µm
_09387_,118.88µm
_22007_,118.855µm
_13091_,118.83µm
_00744_,118.7µm
_07483_,118.7µm
u_pq.cell_key_w\[2\]\[8\],118.69µm
net1709,118.69µm
_15497_,118.64µm
_16694_,118.615µm
_04435_,118.6µm
_21372_,118.5µm
_03226_,118.48µm
_13029_,118.46µm
clknet_leaf_203_clk,118.42µm
_09844_,118.39µm
_14772_,118.34µm
net398,118.34µm
clknet_leaf_58_clk,118.3µm
_12634_,118.28µm
_21471_,118.26µm
_13377_,118.18µm
net949,118.07µm
net401,118.02µm
net274,118.01µm
_21241_,118µm
_03856_,117.98µm
clknet_leaf_166_clk,117.94µm
clknet_leaf_329_clk,117.88µm
_04016_,117.86µm
net1427,117.83µm
net99,117.8µm
net991,117.79µm
clknet_leaf_76_clk,117.76µm
_16375_,117.63µm
_03309_,117.58µm
net958,117.555µm
net1813,117.43µm
_04125_,117.42µm
_06043_,117.36µm
clknet_leaf_336_clk,117.34µm
_21203_,117.3µm
clknet_leaf_272_clk,117.25µm
_03612_,117.22µm
_23070_,117.22µm
_12233_,117.21µm
_03524_,117.2µm
_07970_,117.2µm
_05765_,117.16µm
_18032_,117.14µm
_05727_,116.94µm
_08454_,116.88µm
_08358_,116.865µm
_23032_,116.78µm
_14777_,116.76µm
_00540_,116.74µm
_15779_,116.72µm
_04275_,116.625µm
_21226_,116.6µm
_13670_,116.56µm
_07635_,116.54µm
_21143_,116.54µm
_20812_,116.52µm
u_uart_apb.u_resp_builder.state\[4\],116.505µm
_03683_,116.5µm
_16483_,116.38µm
_09761_,116.32µm
_06811_,116.24µm
_13203_,116.2µm
_14615_,116.16µm
_21407_,116.11µm
_21264_,116.1µm
net140,116.06µm
_03745_,115.94µm
_04714_,115.94µm
sq_enq_id\[0\],115.92µm
net631,115.85µm
_04308_,115.84µm
clknet_leaf_132_clk,115.79µm
_19211_,115.76µm
_08529_,115.74µm
apb_pwdata\[4\],115.72µm
_17903_,115.635µm
net1380,115.6µm
net848,115.595µm
clknet_leaf_218_clk,115.58µm
_04951_,115.56µm
_03360_,115.54µm
net960,115.53µm
clknet_leaf_334_clk,115.42µm
net1771,115.28µm
_04328_,115.22µm
_06796_,115.2µm
_03199_,115.18µm
u_pq.cell_key_w\[5\]\[15\],115.16µm
net3,115.14µm
_03326_,115.12µm
_14437_,115.12µm
net1783,115.09µm
_03511_,115.08µm
_03508_,115.04µm
u_pq.cell_key_w\[4\]\[14\],114.98µm
_05224_,114.9µm
net1882,114.88µm
clknet_leaf_195_clk,114.88µm
net1059,114.865µm
_05473_,114.86µm
net1109,114.86µm
_10442_,114.82µm
_04392_,114.72µm
_17391_,114.72µm
net273,114.72µm
clknet_leaf_313_clk,114.7µm
_00537_,114.66µm
_06550_,114.66µm
clknet_leaf_299_clk,114.61µm
_06685_,114.58µm
_08559_,114.58µm
_15464_,114.58µm
_04224_,114.46µm
clknet_leaf_28_clk,114.4µm
_08481_,114.34µm
_19667_,114.34µm
_05430_,114.32µm
_11729_,114.31µm
sq_enq_counter\[22\],114.28µm
net536,114.22µm
_06620_,114.2µm
_03756_,114.18µm
_08495_,114.18µm
_06975_,114.16µm
_07730_,114.16µm
clknet_leaf_150_clk,114.16µm
clknet_leaf_326_clk,114.16µm
_15453_,114.06µm
cmd_word\[23\],114.06µm
cmd_word\[4\],114.06µm
net1042,114.06µm
net1833,114.03µm
net423,114.02µm
_04104_,114.015µm
net1052,113.98µm
net940,113.96µm
_17685_,113.92µm
_15465_,113.84µm
net1871,113.82µm
_23002_,113.74µm
net959,113.74µm
_20259_,113.66µm
_06245_,113.64µm
net16,113.63µm
clknet_leaf_198_clk,113.63µm
_06655_,113.62µm
clknet_leaf_320_clk,113.61µm
_13967_,113.55µm
_07873_,113.54µm
_13128_,113.52µm
clknet_leaf_46_clk,113.52µm
_22775_,113.34µm
u_uart_apb.rx_data\[6\],113.28µm
net305,113.24µm
net805,113.22µm
net1314,113.04µm
_16092_,113.02µm
_08467_,112.95µm
net529,112.92µm
_06502_,112.84µm
_15449_,112.84µm
_06441_,112.81µm
_04713_,112.8µm
_10203_,112.78µm
_06147_,112.7µm
sq_enq_counter\[18\],112.7µm
net953,112.62µm
_19557_,112.54µm
_06185_,112.52µm
_04037_,112.505µm
clknet_leaf_213_clk,112.495µm
_11117_,112.48µm
_20681_,112.46µm
_22106_,112.46µm
clknet_leaf_332_clk,112.46µm
net795,112.395µm
_09859_,112.32µm
_05783_,112.3µm
_15461_,112.3µm
_03970_,112.28µm
_12871_,112.27µm
clknet_leaf_33_clk,112.26µm
clknet_leaf_331_clk,112.26µm
_11147_,112.24µm
clknet_leaf_286_clk,112.23µm
_14607_,112.22µm
net1047,112.22µm
clknet_leaf_339_clk,112.22µm
_17496_,112.18µm
_00487_,112.16µm
_21395_,112.16µm
clknet_leaf_109_clk,112.16µm
clknet_leaf_208_clk,112.16µm
clknet_leaf_221_clk,112.14µm
_05012_,112.12µm
net442,112.1µm
_10453_,112.08µm
_14743_,112µm
_15062_,111.98µm
_20848_,111.98µm
_19476_,111.96µm
_22523_,111.96µm
net1831,111.96µm
net1773,111.9µm
_14756_,111.88µm
clknet_leaf_156_clk,111.88µm
net293,111.84µm
_00789_,111.82µm
u_pq.cell_key_w\[2\]\[7\],111.78µm
clknet_leaf_191_clk,111.72µm
net84,111.69µm
net564,111.59µm
_14574_,111.58µm
net1053,111.56µm
cmd_word2\[20\],111.5µm
net1559,111.48µm
clknet_leaf_167_clk,111.48µm
_19713_,111.41µm
clknet_leaf_24_clk,111.39µm
clknet_leaf_186_clk,111.36µm
clknet_leaf_12_clk,111.32µm
clknet_leaf_269_clk,111.28µm
clknet_leaf_271_clk,111.28µm
net1840,111.27µm
_08595_,111.24µm
_14759_,111.24µm
_15450_,111.22µm
_17163_,111.22µm
_19571_,111.22µm
clknet_leaf_158_clk,111.22µm
_00746_,111.18µm
_13707_,111.175µm
u_sq.id_mem\[4\]\[2\],111.16µm
net299,111.16µm
_09476_,111.15µm
_06725_,111.14µm
net239,111.14µm
_18656_,111.12µm
_04027_,111.08µm
_05297_,111.04µm
_21514_,111.02µm
clknet_leaf_10_clk,110.8µm
net422,110.79µm
_18005_,110.76µm
_19520_,110.72µm
net1496,110.7µm
_07073_,110.68µm
clknet_leaf_22_clk,110.68µm
_14750_,110.66µm
_18392_,110.66µm
_17240_,110.63µm
_03771_,110.6µm
_12343_,110.6µm
u_ctrl.pending_word1\[10\],110.6µm
u_ctrl.pending_word1\[12\],110.58µm
net1851,110.58µm
_04979_,110.56µm
_21388_,110.5µm
_06595_,110.495µm
_19521_,110.48µm
clknet_leaf_194_clk,110.41µm
net1017,110.4µm
net7,110.38µm
_03434_,110.36µm
_03075_,110.34µm
_15076_,110.34µm
_22391_,110.34µm
u_ctrl.u_task_table.remaining_wcet_mem\[2\]\[0\],110.34µm
net1020,110.31µm
u_ctrl.u_task_table.remaining_wcet_mem\[10\]\[0\],110.265µm
clknet_leaf_148_clk,110.24µm
_07439_,110.175µm
_09902_,110.08µm
clknet_leaf_55_clk,110.08µm
_03305_,110.075µm
clknet_leaf_170_clk,109.905µm
_04327_,109.88µm
_10822_,109.85µm
clknet_leaf_184_clk,109.84µm
net270,109.78µm
_21489_,109.76µm
net778,109.76µm
_05229_,109.74µm
_19568_,109.72µm
_17357_,109.7µm
net764,109.69µm
cmd_word\[1\],109.62µm
_05120_,109.58µm
_06847_,109.58µm
net1049,109.52µm
_00731_,109.5µm
_21875_,109.46µm
_15077_,109.36µm
_07675_,109.34µm
clknet_leaf_179_clk,109.28µm
clknet_leaf_305_clk,109.235µm
_05793_,109.18µm
_20844_,109.18µm
clknet_leaf_126_clk,109.14µm
clknet_leaf_125_clk,109.12µm
_07298_,109.1µm
_08690_,109µm
net1509,109µm
clknet_leaf_266_clk,109µm
_04047_,108.98µm
_06439_,108.96µm
_21558_,108.96µm
_14761_,108.915µm
clknet_leaf_219_clk,108.9µm
_12837_,108.885µm
_03299_,108.78µm
clknet_leaf_236_clk,108.74µm
apb_pwdata\[6\],108.68µm
_12603_,108.66µm
pq_enq_key_r\[14\],108.62µm
_15093_,108.6µm
_04985_,108.58µm
_15084_,108.38µm
_09738_,108.36µm
_04116_,108.35µm
clknet_leaf_35_clk,108.28µm
clknet_leaf_108_clk,108.24µm
clknet_leaf_133_clk,108.18µm
_03295_,108.14µm
_07053_,108.12µm
_15462_,108.08µm
_12988_,108.065µm
net1039,108.06µm
clknet_leaf_8_clk,108µm
net1497,107.96µm
_06159_,107.95µm
net521,107.93µm
_15459_,107.92µm
u_sq.id_mem\[4\]\[0\],107.9µm
_09916_,107.88µm
u_sq.id_mem\[2\]\[0\],107.84µm
_15080_,107.8µm
clknet_leaf_309_clk,107.78µm
cmd_word2_valid,107.74µm
net1778,107.73µm
net1170,107.72µm
_00740_,107.7µm
_15751_,107.7µm
_17906_,107.65µm
net111,107.6µm
net142,107.58µm
net252,107.58µm
clknet_leaf_11_clk,107.58µm
_09883_,107.56µm
clknet_leaf_6_clk,107.52µm
_03192_,107.46µm
_06011_,107.39µm
_11946_,107.38µm
clknet_leaf_163_clk,107.38µm
net1751,107.31µm
_06427_,107.25µm
u_sq.id_mem\[4\]\[3\],107.24µm
_17239_,107.22µm
_16659_,107.2µm
_20126_,107.2µm
_08368_,107.17µm
net31,107.16µm
_16083_,107.14µm
_07823_,107.12µm
_21651_,107.12µm
_16095_,107µm
net792,106.96µm
_15049_,106.84µm
clknet_leaf_292_clk,106.835µm
clknet_leaf_85_clk,106.82µm
_17125_,106.8µm
net340,106.76µm
net990,106.755µm
clknet_leaf_105_clk,106.74µm
net1026,106.68µm
_06168_,106.66µm
clknet_leaf_75_clk,106.57µm
_22580_,106.545µm
net339,106.54µm
clknet_leaf_311_clk,106.5µm
_04779_,106.44µm
_20753_,106.42µm
_05856_,106.38µm
_11993_,106.38µm
_18160_,106.28µm
_18655_,106.26µm
_09230_,106.15µm
_17289_,106.04µm
_08060_,106µm
clknet_leaf_324_clk,106µm
_07486_,105.98µm
_06881_,105.88µm
net34,105.8µm
clknet_leaf_2_clk,105.8µm
_04428_,105.78µm
_07855_,105.78µm
_12650_,105.76µm
_08112_,105.74µm
_21335_,105.68µm
net1037,105.675µm
_16366_,105.66µm
_15773_,105.62µm
_19206_,105.56µm
_22093_,105.55µm
u_pq.cell_key_w\[1\]\[2\],105.53µm
_14788_,105.46µm
clknet_leaf_180_clk,105.42µm
_14786_,105.41µm
_21461_,105.4µm
clknet_leaf_135_clk,105.38µm
_07704_,105.34µm
net331,105.34µm
cmd_word\[31\],105.33µm
_05272_,105.32µm
_03570_,105.3µm
_05926_,105.3µm
pq_enq_key_r\[12\],105.28µm
net309,105.28µm
net394,105.24µm
_06982_,105.2µm
_17525_,105.16µm
clknet_leaf_50_clk,105.12µm
_08518_,105.09µm
net738,105.08µm
_07859_,105.06µm
clknet_leaf_61_clk,105.02µm
_17130_,105µm
_07293_,104.98µm
clknet_leaf_124_clk,104.98µm
_08364_,104.935µm
clknet_leaf_317_clk,104.93µm
net1842,104.9µm
net143,104.88µm
u_ctrl.u_task_table.remaining_wcet_mem\[11\]\[0\],104.86µm
_09897_,104.84µm
_13194_,104.84µm
_16071_,104.84µm
_03757_,104.82µm
_22379_,104.82µm
_05477_,104.74µm
_22937_,104.7µm
_04197_,104.69µm
_06523_,104.66µm
_03414_,104.64µm
clknet_leaf_250_clk,104.64µm
_08374_,104.595µm
clknet_leaf_96_clk,104.58µm
clknet_leaf_114_clk,104.58µm
net424,104.56µm
clknet_leaf_171_clk,104.56µm
_03962_,104.54µm
_06356_,104.54µm
_03958_,104.52µm
clknet_leaf_129_clk,104.51µm
_03719_,104.5µm
_05174_,104.48µm
_15074_,104.42µm
_00742_,104.38µm
_19676_,104.365µm
_05338_,104.34µm
_09617_,104.32µm
_03068_,104.305µm
_00728_,104.28µm
_04849_,104.28µm
_09373_,104.26µm
net79,104.23µm
clknet_leaf_138_clk,104.23µm
net797,104.22µm
clknet_leaf_111_clk,104.14µm
_12012_,104.12µm
net55,104.12µm
clknet_leaf_13_clk,104.12µm
_09961_,104.1µm
net287,104.085µm
_16364_,104.08µm
_17404_,104.08µm
clknet_leaf_142_clk,104.03µm
_22810_,104µm
_23077_,103.94µm
net292,103.94µm
sq_enq_counter\[29\],103.92µm
net1743,103.91µm
clknet_leaf_335_clk,103.9µm
clknet_leaf_100_clk,103.86µm
_15757_,103.84µm
u_ctrl.tick_count\[1\],103.84µm
_12671_,103.82µm
apb_pwdata\[5\],103.8µm
_15369_,103.795µm
clknet_leaf_307_clk,103.785µm
_05068_,103.78µm
_13402_,103.75µm
clknet_leaf_68_clk,103.74µm
net1786,103.72µm
_06211_,103.68µm
_16067_,103.66µm
_17118_,103.66µm
net1507,103.62µm
_06282_,103.6µm
net1742,103.57µm
_05507_,103.56µm
_06032_,103.48µm
_07079_,103.44µm
clknet_leaf_90_clk,103.44µm
_06993_,103.42µm
_22832_,103.3µm
clknet_leaf_162_clk,103.28µm
cmd_word2\[24\],103.23µm
_06022_,103.16µm
net33,103.14µm
_03590_,103.06µm
_05093_,103.06µm
clknet_leaf_95_clk,103.04µm
_07897_,103.03µm
net1375,103.01µm
u_ctrl.u_task_table.remaining_wcet_mem\[9\]\[0\],102.915µm
_06195_,102.895µm
_06187_,102.84µm
net689,102.84µm
u_ctrl.pending_word1\[0\],102.8µm
net14,102.76µm
net110,102.66µm
clknet_leaf_310_clk,102.62µm
_08352_,102.57µm
_19531_,102.565µm
_21061_,102.56µm
u_ctrl.tt_wr_remaining_wcet\[9\],102.54µm
_08441_,102.51µm
_07252_,102.48µm
_07715_,102.48µm
net495,102.455µm
_05605_,102.44µm
_00503_,102.4µm
net993,102.4µm
clknet_leaf_298_clk,102.4µm
_15068_,102.38µm
_06987_,102.34µm
_22025_,102.34µm
clknet_leaf_39_clk,102.32µm
_20208_,102.3µm
_21082_,102.3µm
clknet_leaf_121_clk,102.26µm
_03238_,102.24µm
_15444_,102.24µm
u_uart_apb.u_uart_tx.state\[3\],102.105µm
net947,102.1µm
clknet_leaf_78_clk,102.1µm
clknet_leaf_97_clk,102.09µm
_00760_,102.08µm
clknet_leaf_82_clk,102.08µm
_06960_,102.06µm
_03239_,101.92µm
net10,101.92µm
clknet_leaf_177_clk,101.88µm
net1086,101.82µm
_06432_,101.78µm
_06995_,101.77µm
_10114_,101.76µm
_06059_,101.75µm
clknet_leaf_160_clk,101.74µm
_18330_,101.7µm
net788,101.7µm
net372,101.68µm
clknet_leaf_261_clk,101.605µm
_16890_,101.6µm
_08601_,101.46µm
clknet_leaf_319_clk,101.46µm
net964,101.42µm
_15782_,101.4µm
net152,101.395µm
clknet_leaf_77_clk,101.38µm
clknet_leaf_59_clk,101.36µm
net44,101.31µm
net527,101.27µm
_04102_,101.22µm
clknet_leaf_149_clk,101.22µm
_16064_,101.16µm
_07630_,101.14µm
_22502_,101.14µm
net269,101.13µm
_05035_,101.08µm
clknet_leaf_137_clk,101.06µm
_19624_,101.04µm
net737,101.02µm
net621,101.01µm
_15059_,100.96µm
clknet_leaf_284_clk,100.92µm
_07340_,100.9µm
_18862_,100.9µm
net1007,100.9µm
_08960_,100.84µm
_12616_,100.84µm
clknet_leaf_32_clk,100.82µm
_15372_,100.78µm
_12261_,100.775µm
_20130_,100.74µm
_21013_,100.74µm
clknet_leaf_330_clk,100.7µm
_16080_,100.68µm
_22444_,100.67µm
_15744_,100.65µm
_08510_,100.56µm
_19551_,100.56µm
_15056_,100.52µm
clknet_leaf_207_clk,100.52µm
clknet_leaf_270_clk,100.52µm
_06735_,100.5µm
_07221_,100.44µm
_15447_,100.44µm
u_sq.id_mem\[2\]\[3\],100.44µm
clknet_leaf_17_clk,100.42µm
clknet_leaf_127_clk,100.42µm
clknet_leaf_106_clk,100.4µm
_17041_,100.39µm
net308,100.37µm
_06443_,100.36µm
clknet_leaf_274_clk,100.33µm
_16074_,100.28µm
_04818_,100.2µm
_17149_,100.2µm
net63,100.2µm
_06529_,100.15µm
_21626_,100.12µm
_06154_,100.1µm
_22240_,100.1µm
_03759_,100.08µm
clknet_leaf_57_clk,100.06µm
net1449,100.04µm
clknet_leaf_328_clk,100.04µm
_16368_,100.02µm
net486,100.02µm
net1847,100.01µm
net971,100µm
net1805,99.98µm
clknet_leaf_205_clk,99.98µm
net1502,99.95µm
_09826_,99.91µm
_19901_,99.88µm
clknet_leaf_14_clk,99.88µm
_18764_,99.82µm
_15471_,99.78µm
net1612,99.76µm
clknet_leaf_333_clk,99.7µm
_17438_,99.66µm
clknet_leaf_252_clk,99.66µm
_15441_,99.64µm
_05066_,99.58µm
_05291_,99.53µm
clknet_leaf_118_clk,99.48µm
_05663_,99.46µm
_06410_,99.44µm
_15437_,99.42µm
_20841_,99.4µm
net1344,99.36µm
_17292_,99.28µm
_14769_,99.275µm
cmd_word\[0\],99.26µm
u_pq.cell_key_w\[5\]\[14\],99.24µm
_20778_,99.18µm
_22449_,99.17µm
net1035,99.16µm
clknet_leaf_99_clk,99.15µm
u_sq.valid_mem\[13\]\[0\],99.125µm
_05842_,99.12µm
_16487_,99.08µm
_05325_,99.06µm
clknet_leaf_253_clk,99.06µm
clknet_leaf_287_clk,98.94µm
u_uart_apb.rx_data\[2\],98.92µm
clknet_leaf_62_clk,98.88µm
_15071_,98.87µm
_09906_,98.84µm
clknet_leaf_38_clk,98.84µm
clknet_leaf_340_clk,98.8µm
_10021_,98.76µm
net275,98.73µm
_13181_,98.72µm
clknet_leaf_143_clk,98.72µm
_03781_,98.69µm
_21025_,98.68µm
_06173_,98.66µm
_03595_,98.63µm
net1453,98.6µm
clknet_leaf_128_clk,98.595µm
_15756_,98.56µm
_14783_,98.54µm
net897,98.5µm
net335,98.44µm
clknet_leaf_282_clk,98.44µm
clknet_leaf_314_clk,98.42µm
_22422_,98.4µm
clknet_leaf_88_clk,98.37µm
_12790_,98.34µm
net1212,98.34µm
_07062_,98.28µm
_21070_,98.26µm
_06382_,98.24µm
_07113_,98.22µm
clknet_leaf_89_clk,98.22µm
net539,98.15µm
_21385_,98.14µm
clknet_leaf_123_clk,98.14µm
_11178_,98.12µm
clknet_leaf_113_clk,98.12µm
_11968_,98.11µm
clknet_leaf_64_clk,98.11µm
u_uart_apb.cmd_wdata\[7\],98.06µm
net551,98.01µm
pq_enq_key_r\[2\],97.98µm
clknet_leaf_144_clk,97.98µm
_05749_,97.96µm
clknet_leaf_315_clk,97.91µm
_14339_,97.9µm
net1880,97.9µm
clknet_leaf_74_clk,97.88µm
_18904_,97.86µm
_09741_,97.85µm
clknet_leaf_110_clk,97.84µm
_00781_,97.82µm
net932,97.81µm
net908,97.8µm
_06051_,97.78µm
u_pq.cell_key_w\[4\]\[11\],97.72µm
_06255_,97.68µm
net1004,97.65µm
_17248_,97.64µm
_19904_,97.625µm
_07353_,97.62µm
_05826_,97.57µm
_03600_,97.56µm
clknet_leaf_289_clk,97.56µm
clknet_leaf_84_clk,97.55µm
_12651_,97.54µm
_21715_,97.54µm
net853,97.53µm
clknet_leaf_263_clk,97.52µm
clknet_leaf_1_clk,97.48µm
_06586_,97.46µm
_11735_,97.46µm
net217,97.44µm
_13602_,97.42µm
_05483_,97.28µm
net1850,97.25µm
_06437_,97.24µm
_05567_,97.18µm
_05595_,97.16µm
_07040_,97.16µm
_20698_,97.16µm
clknet_leaf_231_clk,97.16µm
net399,97.15µm
net1770,97.13µm
clknet_leaf_27_clk,97.12µm
u_pq.cell_key_w\[4\]\[8\],97.1µm
clknet_leaf_119_clk,97.1µm
net297,97.08µm
_00657_,97.02µm
clknet_leaf_341_clk,97µm
_07895_,96.995µm
apb_pwdata\[0\],96.97µm
_22368_,96.96µm
_07018_,96.9µm
clknet_leaf_295_clk,96.88µm
clknet_leaf_300_clk,96.84µm
_12218_,96.82µm
_05936_,96.8µm
_15478_,96.8µm
pq_enq_key_r\[15\],96.78µm
clknet_leaf_302_clk,96.78µm
clknet_leaf_304_clk,96.76µm
_21582_,96.7µm
clknet_leaf_40_clk,96.7µm
_04884_,96.64µm
_15475_,96.56µm
_07917_,96.48µm
_12893_,96.48µm
net291,96.44µm
_15468_,96.42µm
_05102_,96.38µm
u_ctrl.tt_wr_remaining_wcet\[8\],96.38µm
_15048_,96.35µm
_14768_,96.32µm
net1073,96.32µm
clknet_leaf_338_clk,96.32µm
net987,96.28µm
net857,96.27µm
net1072,96.24µm
clknet_leaf_71_clk,96.24µm
_20803_,96.2µm
_20496_,96.18µm
net1065,96.18µm
_09342_,96.16µm
clknet_leaf_316_clk,96.16µm
_07035_,96.12µm
_11765_,96.12µm
_15366_,96.1µm
_16568_,96.1µm
_16363_,96.06µm
_20261_,96.04µm
net937,96.04µm
_06289_,96.02µm
_15483_,96µm
_14749_,95.98µm
net790,95.98µm
clknet_leaf_293_clk,95.96µm
_16103_,95.94µm
_20494_,95.94µm
net595,95.92µm
clknet_leaf_222_clk,95.92µm
_16569_,95.9µm
net796,95.89µm
_07847_,95.75µm
_00741_,95.74µm
u_ctrl.tt_wr_priority\[2\],95.74µm
net1016,95.74µm
net1034,95.74µm
_06071_,95.68µm
_12563_,95.68µm
_21534_,95.68µm
clknet_leaf_98_clk,95.66µm
clknet_leaf_134_clk,95.66µm
_13579_,95.58µm
net1837,95.55µm
clknet_leaf_279_clk,95.55µm
_15764_,95.52µm
_21506_,95.48µm
_06464_,95.43µm
clknet_leaf_155_clk,95.34µm
clknet_leaf_48_clk,95.28µm
clknet_leaf_325_clk,95.28µm
clknet_leaf_104_clk,95.24µm
clknet_leaf_242_clk,95.24µm
clknet_leaf_20_clk,95.2µm
clknet_leaf_54_clk,95.14µm
_06605_,95.12µm
clknet_leaf_259_clk,95.11µm
_06449_,95.09µm
_07436_,95.08µm
_07890_,95.08µm
_13189_,95.08µm
clknet_leaf_254_clk,95.08µm
net80,95.05µm
net119,95.05µm
_07358_,95.02µm
clknet_leaf_267_clk,95.02µm
clknet_leaf_312_clk,94.86µm
_06683_,94.83µm
_06305_,94.82µm
net675,94.82µm
net1657,94.81µm
_06989_,94.79µm
cmd_word2\[29\],94.76µm
clknet_leaf_141_clk,94.74µm
net1764,94.72µm
_15741_,94.68µm
net1468,94.64µm
net1877,94.61µm
_19438_,94.6µm
net1844,94.6µm
_08074_,94.58µm
_06952_,94.56µm
net272,94.56µm
_04890_,94.54µm
_19347_,94.52µm
_05323_,94.5µm
_08119_,94.44µm
_15458_,94.4µm
clknet_leaf_102_clk,94.4µm
net1740,94.33µm
_04211_,94.28µm
_17725_,94.26µm
_07450_,94.22µm
clknet_leaf_139_clk,94.2µm
_17257_,94.19µm
_06163_,94.18µm
_12670_,94.18µm
net794,94.16µm
_14269_,94.14µm
clknet_leaf_303_clk,94.08µm
_09740_,94.06µm
_20764_,94.06µm
_00732_,94.04µm
_00873_,94.02µm
clknet_leaf_0_clk,94µm
clknet_leaf_7_clk,94µm
net562,93.84µm
_19449_,93.82µm
_10153_,93.78µm
clknet_leaf_60_clk,93.74µm
_20860_,93.72µm
u_ctrl.tick_count\[5\],93.705µm
net1862,93.69µm
_07947_,93.68µm
_10623_,93.68µm
clknet_leaf_31_clk,93.64µm
clknet_leaf_291_clk,93.635µm
_04261_,93.62µm
_21058_,93.62µm
net1414,93.6µm
clknet_leaf_228_clk,93.6µm
net1836,93.55µm
clknet_leaf_209_clk,93.5µm
_09176_,93.48µm
_22304_,93.48µm
net765,93.46µm
clknet_leaf_288_clk,93.42µm
clknet_leaf_227_clk,93.41µm
_04628_,93.4µm
clknet_leaf_264_clk,93.4µm
_20721_,93.38µm
_21115_,93.38µm
_06324_,93.32µm
u_uart_apb.rx_data\[4\],93.3µm
clknet_leaf_103_clk,93.3µm
net779,93.295µm
_17281_,93.28µm
_21042_,93.24µm
clknet_leaf_86_clk,93.24µm
_10496_,93.22µm
_16098_,93.22µm
clknet_leaf_25_clk,93.18µm
clknet_leaf_19_clk,93.15µm
clknet_leaf_116_clk,93.12µm
_17247_,93.04µm
net1102,93.02µm
_10880_,92.98µm
_16088_,92.94µm
_06297_,92.86µm
_06455_,92.84µm
_06497_,92.84µm
net948,92.835µm
_03518_,92.82µm
_05736_,92.82µm
net1845,92.81µm
_12949_,92.8µm
clknet_leaf_80_clk,92.78µm
_04914_,92.68µm
net365,92.68µm
_16073_,92.64µm
_06938_,92.6µm
_06329_,92.56µm
net559,92.52µm
_21317_,92.5µm
_22206_,92.5µm
net597,92.48µm
sq_enq_counter\[4\],92.44µm
clknet_leaf_9_clk,92.44µm
clknet_leaf_101_clk,92.44µm
_07696_,92.41µm
_03526_,92.4µm
clknet_leaf_87_clk,92.36µm
_03566_,92.275µm
_04922_,92.18µm
u_sq.valid_mem\[11\]\[0\],92.16µm
_08718_,92.15µm
_14762_,92.06µm
_20831_,92µm
clknet_leaf_34_clk,91.98µm
clknet_leaf_79_clk,91.98µm
_08174_,91.96µm
clknet_leaf_73_clk,91.95µm
clknet_leaf_238_clk,91.94µm
_05294_,91.92µm
net1347,91.89µm
_10165_,91.88µm
clknet_leaf_233_clk,91.88µm
_07767_,91.86µm
_06222_,91.82µm
_07769_,91.82µm
_17314_,91.82µm
_04422_,91.8µm
net1739,91.78µm
_03105_,91.76µm
pq_enq_key_r\[4\],91.76µm
_03478_,91.74µm
_16086_,91.72µm
clknet_leaf_120_clk,91.7µm
_17707_,91.66µm
_21054_,91.66µm
_19635_,91.64µm
clknet_leaf_15_clk,91.64µm
u_ctrl.pending_word1\[1\],91.58µm
net692,91.58µm
pq_enq_key_r\[7\],91.56µm
net724,91.54µm
_07982_,91.53µm
rsp_word\[1\],91.505µm
_05580_,91.5µm
net1119,91.5µm
_20772_,91.48µm
_11071_,91.47µm
_07472_,91.46µm
_00867_,91.44µm
net1767,91.41µm
net397,91.39µm
_05746_,91.38µm
_11255_,91.36µm
net1818,91.34µm
net1565,91.33µm
clknet_leaf_30_clk,91.32µm
_09920_,91.3µm
net984,91.3µm
clknet_leaf_63_clk,91.3µm
u_sq.valid_mem\[8\]\[0\],91.265µm
_05212_,91.24µm
_08953_,91.22µm
net1628,91.21µm
_06585_,91.18µm
clknet_leaf_66_clk,91.18µm
_20796_,91.14µm
_16589_,91.12µm
_14780_,91.095µm
net106,91µm
_00488_,90.93µm
_12377_,90.9µm
net1069,90.9µm
net1660,90.9µm
clknet_leaf_262_clk,90.9µm
_10532_,90.84µm
_15775_,90.8µm
cmd_word2\[27\],90.745µm
u_uart_apb.rx_data\[5\],90.7µm
u_pq.cell_key_w\[1\]\[5\],90.68µm
_19418_,90.64µm
_05385_,90.62µm
_04054_,90.6µm
_17716_,90.6µm
_16361_,90.48µm
_23096_,90.48µm
_14747_,90.46µm
_00476_,90.445µm
_05612_,90.38µm
_12073_,90.36µm
_14752_,90.36µm
u_pq.cell_key_w\[3\]\[9\],90.36µm
net1725,90.3µm
